fault_type,fault_start,breach_time,run_id
bgp_route_flap,2026-07-21 13:08:00.514601+00:00,2026-07-21 13:16:04.269079+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_04_bgp_route_flap
vrf_leakage,2026-07-21 13:08:00.514837+00:00,2026-07-21 13:16:35.686245+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_04_vrf_leakage
bgp_route_flap,2026-07-21 13:31:51.886457+00:00,2026-07-21 13:38:43.733775+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_05_bgp_route_flap
vrf_leakage,2026-07-21 13:31:51.886794+00:00,2026-07-21 13:37:44.003379+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_05_vrf_leakage
bgp_route_flap,2026-07-21 13:52:30.763119+00:00,2026-07-21 14:03:53.545087+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_06_bgp_route_flap
vrf_leakage,2026-07-21 13:52:30.763469+00:00,2026-07-21 14:00:21.096068+00:00,real_tier5_bgp_vrf_focus2_20260721_1159__compound_bgp_route_flap_06_vrf_leakage
bgp_route_flap,2026-07-21 06:22:53.407382+00:00,2026-07-21 06:31:57.466101+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-21 06:22:53.407595+00:00,2026-07-21 06:28:10.152639+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-21 06:40:40.760520+00:00,2026-07-21 06:47:50.125046+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-21 06:40:40.760669+00:00,2026-07-21 06:49:09.672884+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_02_vrf_leakage
bgp_route_flap,2026-07-21 07:05:43.168706+00:00,2026-07-21 07:13:00.878882+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_03_bgp_route_flap
vrf_leakage,2026-07-21 07:05:43.168884+00:00,2026-07-21 07:13:37.573116+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_03_vrf_leakage
bgp_route_flap,2026-07-21 07:28:39.652607+00:00,2026-07-21 07:36:48.167902+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_04_bgp_route_flap
vrf_leakage,2026-07-21 07:28:39.652916+00:00,2026-07-21 07:37:32.903095+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_04_vrf_leakage
bgp_route_flap,2026-07-21 07:50:51.421069+00:00,2026-07-21 08:00:30.836231+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_05_bgp_route_flap
vrf_leakage,2026-07-21 07:50:51.421311+00:00,2026-07-21 07:58:29.144094+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_05_vrf_leakage
bgp_route_flap,2026-07-21 08:13:32.179542+00:00,2026-07-21 08:22:45.493053+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_06_bgp_route_flap
vrf_leakage,2026-07-21 08:13:32.179749+00:00,2026-07-21 08:21:30.409055+00:00,real_tier5_bgp_vrf_focus_20260721_0618__compound_bgp_route_flap_06_vrf_leakage
tunnel_degradation,2026-07-20 14:22:25.876953+00:00,2026-07-20 14:29:37.419097+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-20 14:22:25.877459+00:00,2026-07-20 14:30:54.752847+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_01_vrf_leakage
tunnel_degradation,2026-07-20 14:45:56.652443+00:00,2026-07-20 14:53:58.827037+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-20 14:45:56.652571+00:00,2026-07-20 14:51:41.448973+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_02_vrf_leakage
tunnel_degradation,2026-07-20 15:42:50.832414+00:00,2026-07-20 15:49:06.373718+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_03_tunnel_degradation
vrf_leakage,2026-07-20 15:42:50.832611+00:00,2026-07-20 15:47:00.300440+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_03_vrf_leakage
congestion_breach,2026-07-20 16:03:23.292369+00:00,2026-07-20 16:14:14.819059+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_01_congestion_breach
vrf_leakage,2026-07-20 16:03:23.292548+00:00,2026-07-20 16:12:02.930590+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_01_vrf_leakage
congestion_breach,2026-07-20 16:28:46.775644+00:00,2026-07-20 16:39:54.527062+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_02_congestion_breach
vrf_leakage,2026-07-20 16:28:46.775804+00:00,2026-07-20 16:35:51.270847+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_02_vrf_leakage
congestion_breach,2026-07-20 16:53:05.912034+00:00,2026-07-20 17:06:30.354085+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_03_congestion_breach
vrf_leakage,2026-07-20 16:53:05.912206+00:00,2026-07-20 17:01:30.943053+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_03_vrf_leakage
congestion_breach,2026-07-20 17:21:48.438502+00:00,2026-07-20 17:32:53.668158+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_04_congestion_breach
vrf_leakage,2026-07-20 17:21:48.438662+00:00,2026-07-20 17:30:25.760091+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_congestion_breach_04_vrf_leakage
tunnel_degradation,2026-07-20 17:48:27.659109+00:00,2026-07-20 17:53:24.618053+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_04_tunnel_degradation
vrf_leakage,2026-07-20 17:48:27.659485+00:00,2026-07-20 17:57:05.844788+00:00,real_tier5_vrf_consolidate_20260720_1418__compound_tunnel_degradation_04_vrf_leakage
bgp_route_flap,2026-07-20 02:57:38.361582+00:00,2026-07-20 03:06:17.067138+00:00,real_tier5_vrf_overlap_20260720_0252__compound_bgp_route_flap_01_bgp_route_flap
vrf_leakage,2026-07-20 02:57:38.362049+00:00,2026-07-20 03:04:22.795073+00:00,real_tier5_vrf_overlap_20260720_0252__compound_bgp_route_flap_01_vrf_leakage
bgp_route_flap,2026-07-20 03:19:28.720251+00:00,2026-07-20 03:30:24.106856+00:00,real_tier5_vrf_overlap_20260720_0252__compound_bgp_route_flap_02_bgp_route_flap
vrf_leakage,2026-07-20 03:19:28.720583+00:00,2026-07-20 03:23:39.793438+00:00,real_tier5_vrf_overlap_20260720_0252__compound_bgp_route_flap_02_vrf_leakage
congestion_breach,2026-07-20 03:41:16.345556+00:00,2026-07-20 03:53:04.308538+00:00,real_tier5_vrf_overlap_20260720_0252__compound_congestion_breach_01_congestion_breach
vrf_leakage,2026-07-20 03:41:16.345785+00:00,2026-07-20 03:50:08.452282+00:00,real_tier5_vrf_overlap_20260720_0252__compound_congestion_breach_01_vrf_leakage
congestion_breach,2026-07-20 04:06:35.611542+00:00,2026-07-20 04:16:29.976461+00:00,real_tier5_vrf_overlap_20260720_0252__compound_congestion_breach_02_congestion_breach
vrf_leakage,2026-07-20 04:06:35.611749+00:00,2026-07-20 04:15:33.825300+00:00,real_tier5_vrf_overlap_20260720_0252__compound_congestion_breach_02_vrf_leakage
tunnel_degradation,2026-07-20 04:28:44.138638+00:00,2026-07-20 04:33:31.230034+00:00,real_tier5_vrf_overlap_20260720_0252__compound_tunnel_degradation_01_tunnel_degradation
vrf_leakage,2026-07-20 04:28:44.138849+00:00,2026-07-20 04:33:00.891386+00:00,real_tier5_vrf_overlap_20260720_0252__compound_tunnel_degradation_01_vrf_leakage
tunnel_degradation,2026-07-20 04:46:00.379298+00:00,2026-07-20 04:52:24.995595+00:00,real_tier5_vrf_overlap_20260720_0252__compound_tunnel_degradation_02_tunnel_degradation
vrf_leakage,2026-07-20 04:46:00.379560+00:00,2026-07-20 04:54:46.098393+00:00,real_tier5_vrf_overlap_20260720_0252__compound_tunnel_degradation_02_vrf_leakage
vrf_leakage,2026-07-18 12:28:23.463465+00:00,2026-07-18 12:34:07.571141+00:00,real_vrf_recall_20260718_1752__recall_vrf_leakage_001
tunnel_degradation,2026-07-18 12:48:32.700452+00:00,2026-07-18 12:57:08.849640+00:00,real_vrf_recall_20260718_1752__recall_tunnel_degradation_001
vrf_leakage,2026-07-18 13:12:28.251301+00:00,2026-07-18 13:16:41.827489+00:00,real_vrf_recall_20260718_1752__recall_vrf_leakage_002
tunnel_degradation,2026-07-18 13:31:59.281119+00:00,2026-07-18 13:36:55.779869+00:00,real_vrf_recall_20260718_1752__recall_tunnel_degradation_002
vrf_leakage,2026-07-18 13:48:07.253816+00:00,2026-07-18 13:55:41.915047+00:00,real_vrf_recall_20260718_1752__recall_vrf_leakage_003
vrf_leakage,2026-07-18 14:14:13.835749+00:00,2026-07-18 14:20:48.434101+00:00,real_vrf_recall_20260718_1752__recall_vrf_leakage_004
vrf_leakage,2026-07-18 14:35:01.461282+00:00,2026-07-18 14:44:03.789559+00:00,real_vrf_recall_20260718_1752__recall_vrf_leakage_005
